# From Dwyer et al Nat Imm 2016 PMC5045264 Expression profiling of constitutive mast cells reveals a unique identity within the immune system,,
Mast_cell_genes,Mast_basophil_shared_genes,Basophil_genes
Cma1,Slc18a2,Ccl3
Ctsg,Cpa3,Gpr97
Kit,Ms4a2,Aqp9
Mrgprx2,Gata2,Ifitm1
Rgs13,Slc24a3,Cebpa
Maob,Gstm3,Id1
Mlph,Gna14,Ccl4
Vwa5a,Lat2,Gpc4
Hpgds,Far2,Gpr56
Tpsab1,Hrh4,Npl
Gnai1,Fcer1a,Igfbp7
Rab27b,Pafah2,Gpr183
Lxn,Slc41a3,Pdzd4
Tpsb2,Gnb4,Nfil3
Ccdc141,Adk,Nt5c3
Meis2,Itga2b,Acss2
Mitf,Gstm1,Pigy
Spred1,,Pdk3
Hs2st1,,Hist1h1d
Slc45a3,,Jazf1
Unc13b,,Fbxo9
Tpsg1,,Perp
Stard13,,Osbpl5
Ndst2,,Wrn
Plau,,Cables1
Cobl,,Cdh1
Eno2,,Hgf
Dnm3,,Adora2b
Chst1,,Tulp3
Nckap1,,Inf2
Enah,,Hist1h2ac
Kcnq1,,Htr1b
Oaf,,Fads1
Fam129b,,Gabbr1
Rapgef2,,Bace1
Slc29a1,,E2f8
Armcx3,,Fads2
Cdc42bpa,,Far2
Ccl2,,Mboat1
Copz2,,Supt3h
Acer3,,Tec
Tcf7l1,,P2ry1
Zdhhc13,,Lama5
Neo1,,L1cam
Gcet2,,
Osbpl8,,
Bbs10,,
Bmpr2,,
Pcbd1,,
Creb3l1,,
Optn,,
Fam84a,,
Wdr60,,
Mfge8,,
Ext1,,
Ednra,,
Smarca1,,
A4galt,,
Dusp18,,
Kdelr3,,
Ids,,
Riok2,,
Lima1,,
Pde1c,,
Pcp4l1,,
C2,,
Hspa13,,
Trank1,,
Slc4a4,,
Papss2,,
Nceh1,,
Stk32b,,
Atl2,,
Socs2,,
St6galnac3,,
Slc7a5,,
Tiam2,,
Kcne3,,
Slc31a2,,
Gp1ba,,
Ccl7,,
Fam198b,,
