Upreglated in liver ILC1/ liver NK,FC: ILC1/NK,P-value,Upreglated in liver NK/ liver ILC1,FC: NK/ILC1,P-value,Upreglated in spleen ILC1/ spleen NK,FC: ILC1/NK,P-value,Upreglated in spleen NK/ spleen ILC1,FC: NK/ILC1,P-value,Upreglated in siLP ILC1/ siLP NK,FC: ILC1/NK,P-value,Upreglated in siLP NK/ siLP ILC1,FC: NK/ILC1,P-value,Upreglated in liver ILC1/spleen ILC1,FC: liver ILC1/ spleen ILC1,P-value,Upreglated in spleen ILC1/liver ILC1,FC: spleen ILC1 /liver ILC1,P-value,,
GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,GeneSymbol,,,,
Cxcr6,32.12,0.00002,Sell,76.55,0.00000,Il7r,44.23,0.00001,Klrg1,11.53,0.00022,Eomes,11.13,0.00960,Serpinb1a,9.17,0.00924,Gzmb,17.79,0.00232,Sell,70.38,0.00000,,
Cd3g,27.40,0.00067,Eomes,23.06,0.00003,Tcrg-V3,39.25,0.00006,Serpinb9b,8.95,0.00013,Klra9,10.44,0.00269,Il23r,8.97,0.01936,Gzmc,17.29,0.00301,Cmah,16.80,0.00000,,
Cd200r1,24.85,0.00006,Klra1,17.05,0.00002,Tcrg-V2,30.98,0.00017,Gzmb,7.52,0.00049,Klra10,10.33,0.00210,Plekhg1,8.52,0.01957,Entpd1,14.31,0.00000,Emb,16.06,0.00013,,
Itga1,24.43,0.00000,Cmah,16.90,0.00113,Tcrg-C,19.85,0.00013,Cma1,6.64,0.00037,Sell,8.82,0.03367,Rorc,8.13,0.01894,Mmp9,11.26,0.00088,S1pr1,14.19,0.00000,,
LOC100503878,20.37,0.00015,Klrg1,16.88,0.00001,Tmem176b,15.12,0.00004,Cyp17a1,6.49,0.00006,Klra3,8.53,0.00461,Abi3bp,7.47,0.00664,Hba-a1,10.31,0.01233,Eomes,13.74,0.00003,,
Gzmc,16.02,0.00007,As3mt,15.97,0.00045,Cd3e,10.86,0.00066,Gzma,5.89,0.00217,Klra1,6.42,0.00460,Gstm5,6.58,0.03146,Hba-a2,9.86,0.01241,Ly6c1,12.88,0.00053,,
Tcrg-C,14.09,0.00213,Car5b,15.57,0.00067,Gpr183,10.59,0.00017,Entpd1,5.88,0.00040,Serpinb9b,5.71,0.01017,Upp1,5.93,0.00659,Hbb-b2,9.48,0.00102,Klra6,12.46,0.00066,,
Tnfsf10,13.36,0.00004,Serpinb9b,15.09,0.00005,Cxcr6,10.57,0.00004,Cmklr1,5.60,0.00193,Car5b,5.37,0.01695,Tmem176a,5.53,0.01558,Cd200r2,6.98,0.00010,Slamf6,12.34,0.00001,,
Mmp9,13.35,0.00004,S1pr5,11.82,0.00022,Tmem176a,10.54,0.00007,Khdc1a,5.11,0.00001,Klra6,5.33,0.00910,Prelid2,5.07,0.00650,Hbb-b1,6.47,0.00118,Gramd3,11.80,0.00010,,
