Upreglated in liver and spleen ILC1/ liver and spleen NK,FC: Liver ILC1/ liver NK,FC: Spleen ILC1/ spleen NK,Upreglated in liver and spleen NK/ liver and spleen ILC1,FC: Liver NK/ liver ILC1,FC: Spleen NK/ spleen ILC1
Gene symbol,,,Gene symbol,,
Cxcr6,32.12,10.57,Eomes,23.06,2.06
Cd3g,27.40,8.53,Klra1,17.05,3.02
Cd200r1,24.85,5.38,Klrg1,16.88,11.53
Itga1,24.43,4.47,As3mt,15.97,4.38
LOC100503878,20.37,5.07,Car5b,15.57,4.30
Tcrg-C,14.09,19.85,Serpinb9b,15.09,8.95
Tnfsf10,13.36,5.46,Itgam,11.53,5.04
Inpp4b,12.41,7.34,Zeb2,10.31,4.04
Tmem176b,11.47,15.12,Cma1,9.25,6.64
Tcrg-V3,11.01,39.25,A430084P05Rik,8.78,3.60
Tcrg-V2,10.17,30.98,Cym,8.52,4.28
Atp8a2,9.83,2.30,Cmklr1,8.46,5.60
Asb2,7.90,3.70,2010012O05Rik,8.33,4.98
Acpp,6.75,5.45,Fcgr2b,7.15,2.16
Socs2,6.15,5.09,Prr5l,7.13,2.45
Tmem176a,5.99,10.54,Cd55,6.49,2.10
Sema6d,5.74,2.98,Nrarp,5.54,3.08
Gpr114,5.66,5.31,Snora16a,5.30,3.19
Podnl1,5.26,3.14,Gm10522,4.98,3.44
Gp49a,5.23,5.54,Gpx8,4.72,4.68
Il7r,5.00,44.23,Khdc1a,4.69,5.11
2900026A02Rik,4.77,2.16,St5,4.43,3.94
Gpr97,4.56,3.36,Cyp17a1,3.83,6.49
Tnfsf8,4.47,3.34,Irf8,3.60,2.61
Klk8,4.43,2.52,Mcam,3.58,4.85
Pip5k1b,4.39,2.52,Sord,3.26,2.44
St6galnac3,4.30,3.86,Klra9,3.02,3.04
Lilrb4,4.15,4.53,Cdc20b,2.96,3.98
Lpar6,4.09,2.88,Acpl2,2.84,2.23
Tspan31,4.03,2.71,Klra3,2.82,3.68
Rbpj,3.95,2.06,Prf1,2.68,2.79
Aqp9,3.95,4.39,Klra10,2.61,3.24
Ckb,3.85,2.89,Hist1h2bg,2.44,2.76
Cd160,3.76,2.76,Lair1,2.33,2.45
Cd226,3.44,3.32,Hist1h4c,2.21,2.13
Camk4,3.41,3.63,Gzmk,2.05,3.15
A130014H13Rik,3.33,2.31,Klhl30,2.03,3.05
Cxcr3,3.28,2.33,,,
Ahr,3.26,5.20,,,
Bmp7,3.02,4.58,,,
Tmem154,3.02,3.02,,,
Aim2,3.01,2.22,,,
Gdpd5,2.86,2.18,,,
Phxr4,2.82,2.39,,,
Lpxn,2.71,2.73,,,
Parp12,2.55,2.09,,,
Dtx1,2.52,5.29,,,
Ipcef1,2.45,2.14,,,
Tnf,2.44,3.83,,,
Gpr52,2.42,2.65,,,
Jak2,2.40,2.06,,,
Il2ra,2.32,9.19,,,
Slc27a6,2.13,2.25,,,
Chst15,2.12,2.62,,,
Tgtp1,2.09,2.33,,,
Cdon,2.03,2.85,,,
Serpina3f,2.02,2.75,,,
Xcl1,2.00,2.15,,,
,,,,,
